time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,100,0,0,3001.28,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.00442,100,0,0,3001.28,0,0,0,0,8.4140625,1903.63404977376,0,91.5859375,0,0,0,100,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.00884,100,0,0,3001.28,0,0,0,0,36.75,6410.84558823529,1019731.11729899,63.25,1.5,339.366515837104,76779.7547142769,98.5,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.01326,100,0,0,3001.28,0,0,0,0,81.4609375,10115.596719457,838178.98896419,18.5390625,3.02734375,345.552884615385,1399.63094531234,96.97265625,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.01768,100,0,0,3001.28,0,0,0,0,141.62109375,13610.8950791855,790791.484101472,-41.62109375,5.13671875,477.234162895928,29792.1444073627,94.86328125,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.0221,100,0,0,3001.28,0,0,0,0,214.80859375,16558.257918552,666824.171802379,-114.80859375,8.1015625,670.779128959276,43788.4538604861,91.8984375,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.02652,100,0,0,3001.28,0,0,0,0,299.60546875,19184.8133484163,594243.30992404,-199.60546875,13.046875,1118.84898190045,101373.269896194,86.953125,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.03094,100,0,0,3001.28,0,0,0,0,393.69140625,21286.411199095,475474.626850392,-293.69140625,22.11328125,2051.22313348416,210944.37818636,77.88671875,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.03536,100,0,0,3001.28,0,0,0,0,495.61328125,23059.2477375566,401094.239470936,-395.61328125,37.203125,3413.99179864253,308318.702524518,62.796875,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.03978,100,0,0,3001.28,0,0,0,0,602.95703125,24285.9162895928,277526.821727647,-502.95703125,59.8203125,5117.01074660633,385298.404516697,40.1796875,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
0.0442,100,0,0,3001.28,0,0,0,0,712.19140625,24713.6595022624,96774.4825044534,-612.19140625,91.41015625,7147.02347285068,459278.897340349,8.58984375,0,0,0,100,0,0,0,100,93.79,93.79,93.79,0
