time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0
0.00221,1000,0,0,2071.0081,0,0,0,0,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,1000,64.719,64.719,64.719,0
0.00442,1000,0,0,2071.0081,0,0,0,0,3.05078125,1380.44400452489,624635.296165107,996.94921875,0,0,0,1000,0,0,0,1000,0,0,0,1000,64.719,64.719,64.719,0
0.00663,1000,0,0,901.32227,0,0,0,0,10.5390625,3388.36255656109,908560.43078561,989.4609375,0,0,0,1000,0,0,0,1000,0,0,0,1000,28.1663203579963,28.1663203579963,28.1663203579963,0
0.00884,1000,0,0,83.805023,0,0,0,0,18.28515625,3505.01979638009,52786.0813660654,981.71484375,0,0,0,1000,0,0,0,1000,0,0,0,1000,2.61890706410843,2.61890706410843,2.61890706410843,0
0.01105,1000,0,0,111.58493,0,0,0,0,25.375,3208.07409502262,-134364.570749985,974.625,0,0,0,1000,0,0,0,1000,0,0,0,1000,3.48702911305145,3.48702911305145,3.48702911305145,0
0.01326,1000,0,0,306.10709,0,0,0,0,32.01953125,3006.57522624434,-91175.9587232037,967.98046875,0,0,0,1000,0,0,0,1000,0,0,0,1000,9.5658467164522,9.5658467164522,9.5658467164522,0
0.01547,1000,0,0,383.77353,0,0,0,0,38.65625,3003.04015837104,-1599.57822321422,961.34375,0,0,0,1000,0,0,0,1000,0,0,0,1000,11.9929227104779,11.9929227104779,11.9929227104779,0
0.01768,1000,0,0,306.75751,0,0,0,0,45.08984375,2911.12839366516,-41589.0338035667,954.91015625,0,0,0,1000,0,0,0,1000,0,0,0,1000,9.58617189568012,9.58617189568012,9.58617189568012,0
0.01989,1000,0,0,310.92239,0,0,0,0,51.78515625,3029.55316742081,53585.8704776725,948.21484375,0.5,226.244343891403,102373.006285703,999.5,0,0,0,1000,0,0,0,1000,9.71632457674633,9.71632457674633,9.71632457674633,0
0.0221,1000,0,0,268.40561,0,0,0,0,58.31640625,2955.31674208145,-33591.142687496,941.68359375,0.5,0,-102373.006285703,999.5,0,0,0,1000,0,0,0,1000,8.38767522035844,8.38767522035844,8.38767522035844,0
0.02431,1000,0,0,253.55133,0,0,0,0,64.7109375,2893.45305429864,-27992.6189062469,935.2890625,0.5,0,0,999.5,0,0,0,1000,0,0,0,1000,7.92347893772977,7.92347893772977,7.92347893772977,0
0.02652,1000,0,0,339.31781,0,0,0,0,71.12890625,2904.05825791855,4798.73466964246,928.87109375,1.8828125,625.707013574661,283125.345508896,998.1171875,0,0,0,1000,0,0,0,1000,10.603681161535,10.603681161535,10.603681161535,0
0.02873,1000,0,0,377.07333,0,0,0,0,76.90234375,2612.41515837104,-131965.203415164,923.09765625,3.16015625,577.983597285068,-21594.3060133904,996.83984375,0,0,0,1000,0,0,0,1000,11.7835413295037,11.7835413295037,11.7835413295037,0
0.03094,1000,0,0,384.35535,0,0,0,0,82.90234375,2714.93212669683,46387.768473209,917.09765625,4.87890625,777.714932126697,90376.1696115968,995.12109375,0,0,0,1000,0,0,0,1000,12.011104728171,12.011104728171,12.011104728171,0
0.03315,1000,0,0,364.89841,0,0,0,0,88.7734375,2656.60350678733,-26393.0406830327,911.2265625,6.86328125,897.907239819004,54385.6595892795,993.13671875,0,0,0,1000,0,0,0,1000,11.4030749372702,11.4030749372702,11.4030749372702,0
0.03536,1000,0,0,394.20474,0,0,0,0,94.81640625,2734.375,35190.7209107104,905.18359375,9.25,1079.96323529412,82378.2784955263,990.75,0,0,0,1000,0,0,0,1000,12.3188984014246,12.3188984014246,12.3188984014246,0
0.03757,1000,0,0,401.93173,0,0,0,0,100.27734375,2471.01244343891,-119168.577629451,899.72265625,12.03515625,1260.25169683258,81578.4893839192,987.96484375,0,0,0,1000,0,0,0,1000,12.5603662727482,12.5603662727482,12.5603662727482,0
