time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,1874.39453125,0,0,-1874.39453125,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,0,0,0,0,0,1829.65625,-10121.7830882353,0,-1829.65625,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,0,0,0,0,0,1773.9921875,-12593.6792986425,-559252.536291231,-1773.9921875,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,0,0,0,0,0,1706.890625,-15181.3489819005,-585445.629696362,-1706.890625,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,0,0,0,0,0,1626.765625,-18127.8280542986,-666624.224524477,-1626.765625,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,0,0,0,0,0,1533.5234375,-21095.5175339367,-671422.95919412,-1533.5234375,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,0,0,0,0,0,1427.8828125,-23900.5938914027,-634632.660060195,-1427.8828125,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,0,0,0,0,0,1309.890625,-26695.0650452489,-632233.292725374,-1309.890625,23.49609375,0,0,-23.49609375,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,0,0,0,0,0,1180.984375,-29164.3099547511,-558652.694457526,-1180.984375,21.28125,-501.095871040724,-113370.1065703,-21.28125,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,0,0,0,0,0,1041.71875,-31508.0599547511,-530260.180995475,-1041.71875,19.39453125,-426.859445701357,16795.5713437481,-19.39453125,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,0,0,0,0,0,891.78125,-33922.5113122172,-546255.963227615,-891.78125,17.85546875,-348.204185520362,17795.3077332569,-17.85546875,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,0,0,0,0,0,724.3125,-37888.8574660633,-897363.383223112,-724.3125,16.57421875,-289.87556561086,13196.5203415163,-16.57421875,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,0,0,0,0,0,538.59375,-42017.8167420814,-934153.682357035,-538.59375,14.3359375,-506.398472850679,-48987.0830859319,-14.3359375,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,0,0,0,0,0,341.640625,-44559.5305429864,-575048.371245471,-341.640625,11.94921875,-539.981617647059,-7597.99656026699,-11.94921875,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,0,0,0,0,0,139.90625,-45641.2613122172,-244735.468151757,-139.90625,9.98046875,-445.418552036199,21394.3587354886,-9.98046875,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,0,0,0,0,0,-63.46875,-46012.443438914,-83977.8567187404,63.46875,7.78515625,-496.677036199095,-11596.9421183022,-7.78515625,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,0,0,0,0,0,-263.671875,-45294.8246606335,162357.189656231,263.671875,5.16015625,-593.891402714932,-21994.2005691939,-5.16015625,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,0,0,0,0,0,-454.46875,-43166.713800905,481473.045187445,454.46875,3.17578125,-448.953619909502,32791.3535758891,-3.17578125,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,0,0,0,0,0,-631.90625,-40144.2307692308,683819.690424029,631.90625,1.11328125,-466.628959276018,-3998.94555803526,-1.11328125,0,0,0,0,0,0,0,0,0,0,0,0
0.08398,0,0,0,0,0,0,0,0,-792.09375,-36241.5158371041,882967.179214185,792.09375,-0.7265625,-416.254242081448,11396.9948404005,0.7265625,0,0,0,0,0,0,0,0,0,0,0,0
0.0884,0,0,0,0,0,0,0,0,-930.546875,-31324.2364253394,1112506.65424541,930.546875,-2.5,-401.230203619909,3399.10372432998,2.5,0,0,0,0,0,0,0,0,0,0,0,0
0.09282,0,0,0,0,0,0,0,0,-1043.375,-25526.7251131222,1311654.14303556,1043.375,-3.70703125,-273.08399321267,28992.3552957556,3.70703125,0,0,0,0,0,0,0,0,0,0,0,0
0.09724,0,0,0,0,0,0,0,0,-1128.3984375,-19236.0718325792,1423224.72410475,1128.3984375,-4.890625,-267.781391402715,1199.68366741058,4.890625,0,0,0,0,0,0,0,0,0,0,0,0
0.10166,0,0,0,0,0,0,0,0,-1183.12890625,-12382.4589932127,1550591.14012817,1183.12890625,-6,-250.989819004525,3798.9982801335,6,0,0,0,0,0,0,0,0,0,0,0,0
0.10608,0,0,0,0,0,0,0,0,-1206.50390625,-5288.46153846154,1604976.79971745,1206.50390625,-6.5,-113.122171945701,31191.775352675,6.5,0,0,0,0,0,0,0,0,0,0,0,0
0.1105,0,0,0,0,0,0,0,0,-1200.16015625,1435.23755656109,1521198.89027661,1200.16015625,-6.8984375,-90.1442307692308,5198.62922544584,6.8984375,0,0,0,0,0,0,0,0,0,0,0,0
0.11492,0,0,0,0,0,0,0,0,-1161.5234375,8741.33908371041,1652964.14641387,1161.5234375,-7.47265625,-129.913744343891,-8997.62750557932,7.47265625,0,0,0,0,0,0,0,0,0,0,0,0
0.11934,0,0,0,0,0,0,0,0,-1093.62890625,15360.7536764706,1497605.1114842,1093.62890625,-7.5,-6.18636877828054,27992.6189062468,7.5,0,0,0,0,0,0,0,0,0,0,0,0
0.12376,0,0,0,0,0,0,0,0,-999.45703125,21305.8540723982,1345045.33844516,999.45703125,-7.5,0,1399.63094531234,7.5,0,0,0,0,0,0,0,0,0,0,0,0
0.12818,0,0,0,0,0,0,0,0,-880.54296875,26903.6340497738,1266466.05822977,880.54296875,-7.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
0.1326,0,0,0,0,0,0,0,0,-740.16796875,31759.0497737557,1098510.34479229,740.16796875,-7.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
