time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,4915.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,4915.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,4915.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,4915.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,4915.2002,0,0,0,0,0.00390625,0.883766968325792,199.947277901763,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,4915.2002,0,0,0,0,2.0546875,463.977658371041,104772.373620524,-2.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,4915.2002,0,0,0,0,3.921875,422.440610859728,-9397.52206138286,-3.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,4915.2002,0,0,0,0,5.03125,250.989819004525,-38789.771912942,-5.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,4915.2002,0,0,0,0,7.0078125,447.186085972851,44388.2956941914,-7.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,4915.2002,0,0,0,0,10.109375,701.710972850679,57584.8160357077,-10.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,4915.2002,0,0,0,0,13.8828125,853.718891402715,34390.9317991032,-13.8828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,4915.2002,0,0,0,0,16.8515625,671.662895927602,-41189.1392477632,-16.8515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,4915.2002,0,0,0,0,19.59765625,621.288178733032,-11396.9948404005,-19.59765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,4915.2002,0,0,0,0,23.55859375,896.139705882353,62183.6034274483,-23.55859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,4915.2002,0,0,0,0,28.6796875,1158.61849547511,59384.3415368236,-28.6796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,4915.2002,0,0,0,0,33.828125,1164.80486425339,1399.63094531232,-33.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08398,0,0,0,4915.2002,0,0,0,0,38.046875,954.468325791855,-47587.4521406196,-38.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0884,0,0,0,4915.2002,0,0,0,0,42.453125,996.889140271493,9597.46933928462,-42.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09282,0,0,0,4915.2002,0,0,0,0,48.34765625,1333.60435520362,76179.9128805717,-48.34765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09724,0,0,0,4915.2002,0,0,0,0,55,1505.05514705882,38789.771912942,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10166,0,0,0,4915.2002,0,0,0,0,60.5859375,1263.78676470588,-54585.6068671813,-60.5859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10608,0,0,0,4915.2002,0,0,0,0,66.21484375,1273.50820135747,2199.42005691943,-66.21484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1105,0,0,0,4915.2002,0,0,0,0,72.57421875,1438.77262443439,37390.1409676296,-72.57421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11492,0,0,0,4915.2002,0,0,0,0,80.09765625,1702.13518099547,59584.2888147253,-80.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11934,0,0,0,4915.2002,0,0,0,0,87.56640625,1689.76244343891,-2799.26189062468,-87.56640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12376,0,0,0,4915.2002,0,0,0,0,94.60546875,1592.54807692308,-21994.2005691939,-94.60546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12818,0,0,0,4915.2002,0,0,0,0,101.36328125,1528.91685520362,-14396.2040089269,-101.36328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1326,0,0,0,4915.2002,0,0,0,0,109.32421875,1801.11708144796,61583.761593743,-109.32421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13702,0,0,0,4915.2002,0,0,0,0,117.75390625,1907.16911764706,23993.6733482115,-117.75390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14144,0,0,0,4915.2002,0,0,0,0,126.11328125,1891.26131221719,-3599.05100223174,-126.11328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14586,0,0,0,4915.2002,0,0,0,0,134.24609375,1840.0028280543,-11596.9421183022,-134.24609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15028,0,0,0,4915.2002,0,0,0,0,142.83203125,1942.51979638009,23193.8842366045,-142.83203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1547,0,0,0,4915.2002,0,0,0,0,151.71484375,2009.68608597285,15195.993120534,-151.71484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15912,0,0,0,4915.2002,0,0,0,0,161.19921875,2145.78619909502,30791.8807968714,-161.19921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
