time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,68.231941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,204.22247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,338.79623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,471.01962,0,0,0,0,2.4921875,563.843325791855,127566.363301325,-2.4921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,599.9754,0,0,0,0,7.23828125,1073.77686651584,115369.579349317,-7.23828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,724.76892,0,0,0,0,14.34375,1607.57211538462,120768.155852665,-14.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,844.53442,0,0,0,0,24.58203125,2316.3532239819,160357.716877214,-24.58203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,958.44104,0,0,0,0,38.36328125,3117.92986425339,181352.181056899,-38.36328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,1065.6986,0,0,0,0,55.890625,3965.46238687783,191749.43950779,-55.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,1165.563,0,0,0,0,77.2890625,4841.27545248869,198147.752400647,-77.2890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,1257.3416,0,0,0,0,102.58203125,5722.3911199095,199347.436068057,-102.58203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,1340.3973,0,0,0,0,131.70703125,6589.3665158371,196148.279621629,-131.70703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,1414.1543,0,0,0,0,164.19140625,7349.40610859728,171954.658995516,-164.19140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,1478.1007,0,0,0,0,199.65234375,8022.83653846154,152359.825761143,-199.65234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,1531.793,0,0,0,0,237.453125,8552.21295248869,119768.419463156,-237.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,1574.8586,0,0,0,0,277.17578125,8987.02630090498,98374.060727667,-277.17578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,1606.9989,0,0,0,0,318.09375,9257.45899321267,61183.8670379397,-318.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,1627.9907,0,0,0,0,358.87109375,9225.64338235294,-7198.10200446349,-358.87109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08398,0,0,0,1637.6887,0,0,0,0,398.359375,8934.00028280543,-65982.6017075817,-398.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0884,0,0,0,1636.0253,0,0,0,0,435.93359375,8500.95446832579,-97974.1661718637,-435.93359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09282,0,0,0,1623.0122,0,0,0,0,470.375,7792.17335972851,-160357.716877214,-470.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09724,0,0,0,1598.7396,0,0,0,0,500.71875,6865.10180995475,-209744.694518949,-500.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10166,0,0,0,1563.3761,0,0,0,0,526.203125,5765.69570135747,-248734.413709793,-526.203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10608,0,0,0,1517.1666,0,0,0,0,545.71484375,4414.41600678733,-305719.387911795,-545.71484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1105,0,0,0,1460.4321,0,0,0,0,558.56640625,2907.59332579186,-340910.108822506,-558.56640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11492,0,0,0,1393.566,0,0,0,0,564,1229.31985294118,-379699.880735448,-564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11934,0,0,0,1317.0322,0,0,0,0,565,226.244343891403,-226940.160418501,-565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12376,0,0,0,1231.3617,0,0,0,0,554.48046875,-2379.98444570136,-589644.522532299,-554.48046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12818,0,0,0,1137.1488,0,0,0,0,538.54296875,-3605.76923076923,-277326.874449745,-538.54296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1326,0,0,0,1035.047,0,0,0,0,516.96875,-4881.04496606335,-288523.922012244,-516.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13702,0,0,0,925.76465,0,0,0,0,490.00390625,-6100.64338235294,-275927.243504433,-490.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14144,0,0,0,810.05994,0,0,0,0,458.09765625,-7218.60859728507,-252933.30654573,-458.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14586,0,0,0,688.73553,0,0,0,0,419.93359375,-8634.40328054299,-320315.539198624,-419.93359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15028,0,0,0,562.63312,0,0,0,0,376.44921875,-9838.09389140271,-272328.192502201,-376.44921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1547,0,0,0,432.62747,0,0,0,0,327.5859375,-11055.0410067873,-275327.401670727,-327.5859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15912,0,0,0,299.62057,0,0,0,0,274.296875,-12056.3489819005,-226540.265862697,-274.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16354,0,0,0,164.53506,0,0,0,0,217.7734375,-12788.1080316742,-165556.346102659,-217.7734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16796,0,0,0,28.308111,0,0,0,0,158.2265625,-13472.1436651584,-154759.193095965,-158.2265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17238,0,0,0,-108.11522,0,0,0,0,96.1484375,-14044.8246606335,-129565.836080342,-96.1484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1768,0,0,0,-243.78851,0,0,0,0,32.734375,-14347.0729638009,-68381.9690424027,-32.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18122,0,0,0,-377.77054,0,0,0,0,-31.046875,-14430.1470588235,-18795.0441227657,31.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
