time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,14,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,103.67324,0,0,0,0,14,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,360.13397,0,0,0,0,14,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,607.58917,0,0,0,0,15,226.244343891403,51186.5031428513,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,839.85083,0,0,0,0,20.109375,1155.96719457014,210344.536352655,-20.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,1051.1111,0,0,0,0,27.4140625,1652.64423076923,112370.370180791,-27.4140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,1236.0872,0,0,0,0,38.3828125,2481.61764705882,187550.546671854,-38.3828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,1390.1533,0,0,0,0,53.30078125,3375.1060520362,202146.697958682,-53.30078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,1509.4573,0,0,0,0,72.296875,4297.75876696833,208744.95812944,-72.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,1591.0154,0,0,0,0,96.11328125,5388.32720588235,246734.940930775,-96.11328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,1632.7883,0,0,0,0,124.3515625,6388.75141402715,226340.318584796,-124.3515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,1633.7314,0,0,0,0,156.6328125,7303.45022624434,206945.432628324,-156.6328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,1593.8213,0,0,0,0,192.3359375,8077.63009049774,175153.815441944,-192.3359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,1514.0559,0,0,0,0,230.66015625,8670.63772624434,134164.623472083,-230.66015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,1396.4297,0,0,0,0,270.34375,8978.18863122172,69581.6527098135,-270.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,1243.8842,0,0,0,0,310.0625,8986.14253393665,1799.52550111567,-310.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,1060.2338,0,0,0,0,348.19921875,8628.2169117647,-80978.647550214,-348.19921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,850.07117,0,0,0,0,383.33984375,7950.36764705882,-153359.562150652,-383.33984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,618.65149,0,0,0,0,414.1484375,6970.27007918552,-221741.531193055,-414.1484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
