time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,90.955452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,535.96246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,939.89752,0,0,0,0,5.39453125,1220.48218325792,276127.190782334,-5.39453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,1271.8062,0,0,0,0,16.3671875,2482.50141402715,285524.712843717,-16.3671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,1506.2535,0,0,0,0,33.7734375,3938.06561085973,329313.166704203,-33.7734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,1625.2734,0,0,0,0,58.6953125,5638.43325791855,384698.562682992,-58.6953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,1619.7451,0,0,0,0,91.01953125,7313.17166289593,378900.091623841,-91.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,1490.0922,0,0,0,0,129.26953125,8653.84615384615,303320.020576974,-129.26953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,1246.2502,0,0,0,0,171.40234375,9532.31052036199,198747.594234353,-171.40234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,906.90533,0,0,0,0,214.53125,9757.67109728507,50986.5558649494,-214.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,498.06238,0,0,0,0,256.01953125,9386.48897058823,-83977.8567187404,-256.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,51.051815,0,0,0,0,291.6328125,8057.30345022624,-300720.705964251,-291.6328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,-399.87097,0,0,0,0,318.35546875,6045.84983031674,-455080.004504412,-318.35546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,-820.15076,0,0,0,0,333.6328125,3456.41261312217,-585845.524252165,-333.6328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,-1177.5807,0,0,0,0,335.5,422.440610859728,-686419.005036752,-335.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,-1444.7699,0,0,0,0,320.21484375,-3458.18014705882,-877968.497266641,-320.21484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,-1601.2433,0,0,0,0,288.7578125,-7116.9753959276,-827781.730513298,-288.7578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
