time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,500,0,0,0,0,0,0,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,0
0.003094,500,0,0,2705.6001,0,0,0,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,84.55,84.55,84.55,0
0.006188,500,0,0,2655.5732,0,0,0,0,8.52734375,2756.09041693601,890785.525835813,491.47265625,0,0,0,500,0,0,0,500,0,0,0,500,82.9866627593225,82.9866627593225,82.9866627593225,0
0.009282,500,0,0,2383.7546,0,0,0,0,25.38671875,5449.05462184874,870382.74237645,474.61328125,0,0,0,500,0,0,0,500,0,0,0,500,74.4923320251899,74.4923320251899,74.4923320251899,0
0.012376,500,0,0,2167.6724,0,0,0,0,48.04296875,7322.64059469942,605554.61307391,451.95703125,0,0,0,500,0,0,0,500,0,0,0,500,67.7397604951115,67.7397604951115,67.7397604951115,0
0.01547,500,0,0,1902.2537,0,0,0,0,76.3046875,9134.36287976729,585559.885283734,423.6953125,0,0,0,500,0,0,0,500,0,0,0,500,59.4454266417865,59.4454266417865,59.4454266417865,0
0.018564,500,0,0,1682.7268,0,0,0,0,107.35546875,10035.8051874596,291351.747799711,392.64453125,0,0,0,500,0,0,0,500,0,0,0,500,52.5852121573509,52.5852121573509,52.5852121573509,0
0.021658,500,0,0,1433.9066,0,0,0,0,141.5078125,11038.2494343891,323996.201334694,358.4921875,0,0,0,500,0,0,0,500,0,0,0,500,44.8095803275998,44.8095803275998,44.8095803275998,0
0.024752,500,0,0,1200.843,0,0,0,0,177.4375,11612.6979638009,185665.329480208,322.5625,0,0,0,500,0,0,0,500,0,0,0,500,37.5263424150069,37.5263424150069,37.5263424150069,0
0.027846,500,0,0,990.87146,0,0,0,0,213.81640625,11757.8882514544,46926.401956536,286.18359375,0,0,0,500,0,0,0,500,0,0,0,500,30.9647322456266,30.9647322456266,30.9647322456266,0
0.03094,500,0,0,781.66553,0,0,0,0,249.90625,11664.46145766,-30196.119519858,250.09375,0,0,0,500,0,0,0,500,0,0,0,500,24.4270483041774,24.4270483041774,24.4270483041774,0
0.034034,500,0,0,619.90942,0,0,0,0,284.6328125,11223.8404977376,-142411.428546357,215.3671875,0,0,0,500,0,0,0,500,0,0,0,500,19.3721695650856,19.3721695650856,19.3721695650856,0
0.037128,500,0,0,449.06348,0,0,0,0,317.23046875,10535.7647866839,-222390.339707063,182.76953125,0,0,0,500,0,0,0,500,0,0,0,500,14.0332338131767,14.0332338131767,14.0332338131767,0
0.040222,500,0,0,342.95358,0,0,0,0,346.4609375,9447.46889140272,-351743.986839428,153.5390625,0,0,0,500,0,0,0,500,0,0,0,500,10.7172993639403,10.7172993639403,10.7172993639403,0
0.043316,500,0,0,238.50955,0,0,0,0,372.99609375,8576.32716548158,-281558.411739217,127.00390625,0,0,0,500,0,0,0,500,0,0,0,500,7.45342345997292,7.45342345997292,7.45342345997292,0
0.04641,500,0,0,194.49077,0,0,0,0,393.7734375,6715.36643503555,-601474.056382038,106.2265625,0,0,0,500,0,0,0,500,0,0,0,500,6.07783667961174,6.07783667961174,6.07783667961174,0
0.049504,500,0,0,172.02098,0,0,0,0,409.99609375,5243.26317065288,-475792.910272358,90.00390625,0,0,0,500,0,0,0,500,0,0,0,500,5.37565556874191,5.37565556874191,5.37565556874191,0
0.052598,500,0,0,206.069,0,0,0,0,420.796875,3490.87952488688,-566381.268831932,79.203125,0,0,0,500,0,0,0,500,0,0,0,500,6.43965647346677,6.43965647346677,6.43965647346677,0
0.055692,500,0,0,256.28925,0,0,0,0,425.65625,1570.58015513898,-620652.672833839,74.34375,0,0,0,500,0,0,0,500,0,0,0,500,8.00903918142976,8.00903918142976,8.00903918142976,0
0.058786,500,0,0,355.50812,0,0,0,0,425.99609375,109.839608920491,-472120.409249673,74.00390625,0,0,0,500,0,0,0,500,0,0,0,500,11.1096285817813,11.1096285817813,11.1096285817813,0
0.06188,500,0,0,400.44995,0,0,0,0,422.0546875,-1273.88695862961,-447229.013429249,77.9453125,0,0,0,500,0,0,0,500,0,0,0,500,12.514060546875,12.514060546875,12.514060546875,0
0.064974,500,0,0,585.9151,0,0,0,0,412.21484375,-3180.29856173239,-616164.060472779,87.78515625,0,0,0,500,0,0,0,500,0,0,0,500,18.3098473903624,18.3098473903624,18.3098473903624,0
0.068068,500,0,0,707.18127,0,0,0,0,399.73828125,-4032.50242404654,-275437.576701408,100.26171875,0,0,0,500,0,0,0,500,0,0,0,500,22.0994156755009,22.0994156755009,22.0994156755009,0
0.071162,500,0,0,831.14581,0,0,0,0,384.796875,-4829.15521978022,-257483.127257168,115.203125,0,0,0,500,0,0,0,500,0,0,0,500,25.9733065014948,25.9733065014948,25.9733065014948,0
0.074256,500,0,0,957.38782,0,0,0,0,367.62109375,-5551.31908532644,-233407.842775119,132.37890625,0,0,0,500,0,0,0,500,0,0,0,500,29.9183701708448,29.9183701708448,29.9183701708448,0
0.07735,500,0,0,1093.0148,0,0,0,0,349.265625,-5932.60140594699,-123232.812094556,150.734375,0,0,0,500,0,0,0,500,0,0,0,500,34.1567100931238,34.1567100931238,34.1567100931238,0
0.080444,500,0,0,1212.1561,0,0,0,0,329.7890625,-6294.94586296057,-117111.977056747,170.2109375,0,0,0,500,0,0,0,500,0,0,0,500,37.8798781593406,37.8798781593406,37.8798781593406,0
0.083538,500,0,0,1331.5719,0,0,0,0,310.25390625,-6313.88372656755,-6120.83503780912,189.74609375,0,0,0,500,0,0,0,500,0,0,0,500,41.6116202157906,41.6116202157906,41.6116202157906,0
0.086632,500,0,0,1432.6534,0,0,0,0,290.79296875,-6289.89576599871,7753.05771455816,209.20703125,0,0,0,500,0,0,0,500,0,0,0,500,44.7704209937581,44.7704209937581,44.7704209937581,0
0.089726,500,0,0,1534.9824,0,0,0,0,272.08984375,-6044.96606334842,79162.7998223306,227.91015625,0,0,0,500,0,0,0,500,0,0,0,500,47.9682005969214,47.9682005969214,47.9682005969214,0
0.09282,500,0,0,1613.5575,0,0,0,0,254.7265625,-5611.92024886878,139963.094531234,245.2734375,0,0,0,500,0,0,0,500,0,0,0,500,50.4236720790239,50.4236720790239,50.4236720790239,0
0.095914,500,0,0,1677.8937,0,0,0,0,239.08203125,-5056.409583064,179544.494442399,260.91796875,0,0,0,500,0,0,0,500,0,0,0,500,52.434175571671,52.434175571671,52.434175571671,0
0.099008,500,0,0,1713.8867,0,0,0,0,225.9296875,-4250.91911764706,260339.516941479,274.0703125,0,0,0,500,0,0,0,500,0,0,0,500,53.5589600900937,53.5589600900937,53.5589600900937,0
0.102102,500,0,0,1731.5286,0,0,0,0,215.2421875,-3454.26632191338,257483.127257168,284.7578125,0,0,0,500,0,0,0,500,0,0,0,500,54.1102674410149,54.1102674410149,54.1102674410149,0
0.105196,500,0,0,1738.5707,0,0,0,0,207.484375,-2507.37314156432,306041.751890453,292.515625,0,0,0,500,0,0,0,500,0,0,0,500,54.3303324036946,54.3303324036946,54.3303324036946,0
0.10829,500,0,0,1714.5923,0,0,0,0,202.6015625,-1578.15530058177,300328.972521832,297.3984375,0,0,0,500,0,0,0,500,0,0,0,500,53.5810076607446,53.5810076607446,53.5810076607446,0
0.111384,500,0,0,1695.8004,0,0,0,0,200.06640625,-819.378232062056,245241.45718155,299.93359375,0,0,0,500,0,0,0,500,0,0,0,500,52.9937640400271,52.9937640400271,52.9937640400271,0
0.114478,500,0,0,1642.3403,0,0,0,0,200,-21.4629120879121,257891.182926355,300,0,0,0,500,0,0,0,500,0,0,0,500,51.3231338881706,51.3231338881706,51.3231338881706,0
0.117572,500,0,0,1623.36,0,0,0,0,202.15234375,695.650856496445,231775.62009837,297.84765625,0,0,0,500,0,0,0,500,0,0,0,500,50.73,50.73,50.73,0
0.120666,500,0,0,1518.8011,0,0,0,0,207.296875,1662.74442469295,312570.64259745,292.703125,0,0,0,500,0,0,0,500,0,0,0,500,47.4625371742687,47.4625371742687,47.4625371742687,0
0.12376,500,0,0,1465.313,0,0,0,0,213.73828125,2081.90247252747,135474.482170174,286.26171875,0,0,0,500,0,0,0,500,0,0,0,500,45.7910320835185,45.7910320835185,45.7910320835185,0
0.126854,500,0,0,1404.6127,0,0,0,0,221.34765625,2459.39722042663,122008.645086994,278.65234375,0,0,0,500,0,0,0,500,0,0,0,500,43.8941470871041,43.8941470871041,43.8941470871041,0
0.129948,500,0,0,1341.1936,0,0,0,0,229.640625,2680.33896250808,71409.7421077724,270.359375,0,0,0,500,0,0,0,500,0,0,0,500,41.9123008855345,41.9123008855345,41.9123008855345,0
0.133042,500,0,0,1280.7727,0,0,0,0,238.53125,2873.50517129929,62432.5173856524,261.46875,0,0,0,500,0,0,0,500,0,0,0,500,40.0241451572095,40.0241451572095,40.0241451572095,0
0.136136,500,0,0,1222.1666,0,0,0,0,248.0703125,3083.08419521655,67737.241085087,251.9296875,0,0,0,500,0,0,0,500,0,0,0,500,38.1927067779876,38.1927067779876,38.1927067779876,0
0.13923,500,0,0,1158.8746,0,0,0,0,257.5859375,3075.50904977376,-2448.33401512371,242.4140625,0,0,0,500,0,0,0,500,0,0,0,500,36.2148325950933,36.2148325950933,36.2148325950933,0
0.142324,500,0,0,1119.4341,0,0,0,0,266.578125,2906.33080155139,-54679.4596710943,233.421875,0,0,0,500,0,0,0,500,0,0,0,500,34.9823155441984,34.9823155441984,34.9823155441984,0
