time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,500,0,0,-94.425507,0,0,0,0,0,0,0,500,0,0,0,500,0.5,0,0,499.5,0,0,0,500,-2.95079702774997,-2.95079702774997,-2.95079702774997,0
0.00442,500,0,0,16384,0,0,0,0,0,0,0,500,0,0,0,500,0.5,0,0,499.5,0,0,0,500,1222.28356900845,1222.28356900845,1222.28356900845,0
0.00884,500,0,0,3265.7595,0,0,0,0,73.4140625,16609.5164027149,3757809.14088573,426.5859375,0,0,0,500,0.5,0,0,499.5,0,0,0,500,102.054986547319,102.054986547319,102.054986547319,0
0.01326,500,0,0,-1923.7334,0,0,0,0,186.078125,25489.6069004525,2009070.24835691,313.921875,0,0,0,500,0.5,0,0,499.5,0,0,0,500,-60.1166671765422,-60.1166671765422,-60.1166671765422,0
0.01768,500,0,0,-2179.4233,0,0,0,0,275.7265625,20282.4519230769,-1178089.36139719,224.2734375,0.5,113.122171945701,25593.2515714256,499.5,-0.5,-226.244343891403,-51186.5031428513,500.5,0,0,0,500,-68.1069764069611,-68.1069764069611,-68.1069764069611,0
0.0221,500,0,0,-1330.7795,0,0,0,0,347.7734375,16300.1979638009,-900962.434225344,152.2265625,0.5,0,-25593.2515714256,499.5,-0.5,0,51186.5031428513,500.5,0,0,0,500,-41.5868616959926,-41.5868616959926,-41.5868616959926,0
0.02652,500,0,0,-660.23828,0,0,0,0,400.109375,11840.709841629,-1008933.9642923,99.890625,1.5,226.244343891403,51186.5031428513,498.5,-0.5,0,0,500.5,0,0,0,500,-20.6324458177848,-20.6324458177848,-20.6324458177848,0
0.03094,500,0,0,285.64539,0,0,0,0,434.97265625,7887.62019230769,-894364.174054585,65.02734375,1.5,0,-51186.5031428513,498.5,0.5,226.244343891403,51186.5031428513,499.5,0,0,0,500,8.92641868939624,8.92641868939624,8.92641868939624,0
0.03536,500,0,0,516.87823,0,0,0,0,464.48046875,6675.97567873303,-274127.718003317,35.51953125,2.07421875,129.913744343891,29392.2498515591,497.92578125,0.5,0,-51186.5031428513,499.5,0,0,0,500,16.1524444310983,16.1524444310983,16.1524444310983,0
0.03978,500,0,0,734.92322,0,0,0,0,486.546875,4992.3996040724,-380899.564402858,13.453125,2.453125,85.7253959276018,-9997.36389508814,497.546875,0.5,0,0,499.5,0,0,0,500,22.9663507844659,22.9663507844659,22.9663507844659,0
0.0442,500,0,0,881.25873,0,0,0,0,504.13671875,3979.60265837104,-229139.58047542,-4.13671875,2.83203125,85.7253959276018,0,497.16796875,0.5,0,0,499.5,0,0,0,500,27.5393359998701,27.5393359998701,27.5393359998701,0
0.04862,500,0,0,1440.2058,0,0,0,0,509.3984375,1190.43410633484,-631033.609057963,-9.3984375,2.99609375,37.1182126696833,-10997.100284597,497.00390625,0.5,0,0,499.5,0,0,0,500,45.006431864396,45.006431864396,45.006431864396,0
0.05304,500,0,0,1946.317,0,0,0,0,508,-316.388574660633,-340910.108822506,-8,2.99609375,0,-8397.78567187404,497.00390625,0.5,0,0,499.5,0,0,0,500,60.8224053223475,60.8224053223475,60.8224053223475,0
0.05746,500,0,0,2519.8828,0,0,0,0,499.5546875,-1910.70418552036,-360704.88933478,0.4453125,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,78.7463392352888,78.7463392352888,78.7463392352888,0
0.06188,500,0,0,2752.4846,0,0,0,0,492.25390625,-1651.7604638009,58584.5524252165,7.74609375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,86.0151461895104,86.0151461895104,86.0151461895104,0
0.0663,500,0,0,2578.9846,0,0,0,0,488.0546875,-950.049490950226,158758.138654,11.9453125,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,80.5932669547634,80.5932669547634,80.5932669547634,0
0.07072,500,0,0,2405.9263,0,0,0,0,487.5,-125.494909502262,186550.810282345,12.5,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,75.1851957122557,75.1851957122557,75.1851957122557,0
0.07514,500,0,0,1997.2068,0,0,0,0,493.09375,1265.55429864253,314717.015417375,6.90625,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,62.4127129710792,62.4127129710792,62.4127129710792,0
0.07956,500,0,0,1841.7477,0,0,0,0,498.171875,1148.89705882353,-26393.0406830327,1.828125,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,57.5546162492509,57.5546162492509,57.5546162492509,0
0.08398,500,0,0,1831.6064,0,0,0,0,502.32421875,939.444287330317,-47387.5048627178,-2.32421875,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,57.2377030596574,57.2377030596574,57.2377030596574,0
0.0884,500,0,0,1976.3459,0,0,0,0,503.49609375,265.130090497738,-152559.773039045,-3.49609375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,61.7608108938295,61.7608108938295,61.7608108938295,0
0.09282,500,0,0,2229.2571,0,0,0,0,500.9453125,-577.099830316742,-190549.75584038,-0.9453125,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,69.6642804977309,69.6642804977309,69.6642804977309,0
0.09724,500,0,0,2399.2581,0,0,0,0,497.7265625,-728.223981900452,-34190.9845212015,2.2734375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,74.9768152884669,74.9768152884669,74.9768152884669,0
0.10166,500,0,0,2409.8623,0,0,0,0,495.34765625,-538.214083710407,42988.664748879,4.65234375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,75.3081971025299,75.3081971025299,75.3081971025299,0
0.10608,500,0,0,2291.9441,0,0,0,0,494.5,-191.777432126697,78379.332937491,5.5,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,71.6232526960072,71.6232526960072,71.6232526960072,0
0.1105,500,0,0,2231.8564,0,0,0,0,496,339.366515837104,120168.314018959,4,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,69.7455147839345,69.7455147839345,69.7455147839345,0
0.11492,500,0,0,1961.1327,0,0,0,0,499.08203125,697.29213800905,80978.647550214,0.91796875,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,61.2853962658036,61.2853962658036,61.2853962658036,0
0.11934,500,0,0,2004.0684,0,0,0,0,500.49609375,319.923642533937,-85377.4876640527,-0.49609375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,62.6271379842403,62.6271379842403,62.6271379842403,0
0.12376,500,0,0,2166.8484,0,0,0,0,500.49609375,0,-72380.9146004381,-0.49609375,2.99609375,0,0,497.00390625,0.5,0,0,499.5,0,0,0,500,67.7140105497936,67.7140105497936,67.7140105497936,0
